date,amount,category,description
08-06-24,688.7,Expense,utilities
30-06-24,96.57,Expense,ALDI purchase
14-05-24,99.8,Income,salary
17-05-24,399.43,Expense,ALDI purchase
06-06-24,527.76,Income,investment return
05-05-24,245.42,Expense,ALDI purchase
12-07-24,659.16,Expense,restaurant
05-06-24,160.15,Income,investment return
02-08-24,619.59,Expense,restaurant
04-05-24,498.46,Expense,ALDI purchase
01-05-24,804.94,Expense,utilities
12-06-24,573.14,Income,rental revenue
22-07-24,265.69,Income,rental revenue
26-05-24,930.78,Income,freelance work
29-07-24,546.49,Income,freelance work
19-07-24,602.47,Expense,utilities
16-06-24,251.29,Expense,utilities
04-08-24,444.42,Income,investment return
05-08-24,718.2,Income,salary
13-06-24,756.57,Income,salary
13-05-24,825.81,Expense,utilities
21-06-24,416.05,Income,salary
20-06-24,183.02,Income,freelance work
15-07-24,101.67,Expense,utilities
12-05-24,456.27,Income,rental revenue
28-06-24,810.37,Expense,groceries
22-07-24,997.53,Income,freelance work
06-07-24,681.91,Expense,ALDI purchase
09-06-24,220.83,Expense,gas
14-07-24,837.96,Expense,groceries
17-06-24,86.88,Expense,gas
27-05-24,685.76,Expense,utilities
04-07-24,692.31,Expense,ALDI purchase
10-06-24,402.89,Income,salary
06-06-24,934.56,Expense,utilities
24-05-24,307.48,Expense,ALDI purchase
19-06-24,445.94,Income,salary
10-05-24,232.34,Income,salary
18-06-24,197.63,Income,salary
19-07-24,421.87,Expense,utilities
01-08-24,302.3,Income,investment return
13-06-24,643.17,Income,freelance work
29-06-24,336.76,Expense,gas
09-05-24,87.42,Income,salary
27-06-24,988.83,Expense,gas
18-06-24,734.17,Expense,restaurant
24-06-24,181.01,Expense,restaurant
07-05-24,440.01,Expense,ALDI purchase
16-05-24,487.77,Expense,groceries
28-05-24,513.82,Expense,ALDI purchase
12-07-24,475.39,Expense,gas
02-07-24,277.82,Income,salary
15-05-24,888.07,Income,salary
28-05-24,897.23,Income,rental revenue
21-07-24,242.15,Income,rental revenue
21-07-24,78.9,Income,investment return
01-08-24,122.12,Expense,restaurant
07-05-24,246.89,Expense,groceries
05-06-24,959.03,Expense,gas
06-08-24,194.1,Expense,groceries
12-05-24,785.95,Income,salary
30-05-24,150.93,Expense,ALDI purchase
21-06-24,383.24,Income,rental revenue
05-06-24,756.86,Expense,groceries
20-06-24,654.14,Expense,utilities
23-05-24,226.4,Income,salary
07-08-24,733.47,Expense,ALDI purchase
07-06-24,528.94,Expense,ALDI purchase
23-07-24,975.33,Income,freelance work
09-07-24,122.16,Income,rental revenue
19-07-24,819.65,Expense,gas
04-07-24,90.06,Expense,gas
18-06-24,931.56,Income,freelance work
11-07-24,969.01,Income,salary
10-06-24,121.95,Expense,restaurant
08-07-24,441.67,Income,salary
06-07-24,304.67,Expense,gas
11-05-24,607.1,Income,salary
06-08-24,843.11,Income,rental revenue
28-06-24,863.43,Income,salary
05-08-24,691.38,Expense,utilities
24-06-24,638.9,Expense,utilities
08-07-24,390.02,Income,investment return
27-06-24,710.03,Expense,gas
28-05-24,312.15,Income,freelance work
01-06-24,739.39,Income,salary
02-08-24,786.06,Expense,gas
06-05-24,799.03,Income,investment return
28-05-24,198.4,Expense,gas
03-07-24,177.48,Income,rental revenue
19-06-24,151.73,Expense,ALDI purchase
04-07-24,115.05,Income,investment return
19-06-24,777.8,Income,freelance work
26-07-24,427.84,Expense,groceries
23-05-24,517.94,Expense,gas
19-05-24,684.46,Income,salary
09-07-24,598.2,Income,investment return
28-06-24,780.18,Expense,utilities
01-06-24,92.72,Income,rental revenue
29-07-24,824.1,Income,investment return
